url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,kingdom,phylum,cls,order,family,genus,species,filepath,uuid,hashsum_original,hashsum_resized
https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap2/PvL_seq_671cdf51-5a1f-453a-a28e-c9928d6118ad/MDGC0086.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap2/PvL_seq_671cdf51-5a1f-453a-a28e-c9928d6118ad/MDGC0086.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap2/PvL_seq_671cdf51-5a1f-453a-a28e-c9928d6118ad/MDGC0086.JPG,Desert Lion Conservation Camera Traps : acinonyx jubatus/Camera Trap2/PvL_seq_671cdf51-5a1f-453a-a28e-c9928d6118ad/MDGC0086.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,acinonyx jubatus,acinonyx jubatus,cheetah,animalia,chordata,mammalia,carnivora,felidae,acinonyx,jubatus,desert-lion/0da08736-1347-4062-809a-685c108f77b7.png,0da08736-1347-4062-809a-685c108f77b7,d2f20ff4ebb10f3ee1e7204d98f0aa07,ff7516ac3a115dc8e52ef4df2cdc1535
https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/X25cave/2013/05/PvL_seq_ba65269f-eb50-4c12-aea7-9b6dc380e2bb/PICT0179.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/X25cave/2013/05/PvL_seq_ba65269f-eb50-4c12-aea7-9b6dc380e2bb/PICT0179.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/X25cave/2013/05/PvL_seq_ba65269f-eb50-4c12-aea7-9b6dc380e2bb/PICT0179.JPG,Desert Lion Conservation Camera Traps : acinonyx jubatus/Camera Trap/Hoanib/X25cave/2013/05/PvL_seq_ba65269f-eb50-4c12-aea7-9b6dc380e2bb/PICT0179.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,acinonyx jubatus,acinonyx jubatus,cheetah,animalia,chordata,mammalia,carnivora,felidae,acinonyx,jubatus,desert-lion/95742b6e-0f5b-4745-a323-3fe0d58d0233.png,95742b6e-0f5b-4745-a323-3fe0d58d0233,3657c8808b06432e8bde20cc9b1ac270,0cc99df2cf2b65f23efc204e065ac50e
https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2012/10/PvL_seq_30d19a5f-9e0b-4273-a7ee-63097150258c/PICT0012.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2012/10/PvL_seq_30d19a5f-9e0b-4273-a7ee-63097150258c/PICT0012.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2012/10/PvL_seq_30d19a5f-9e0b-4273-a7ee-63097150258c/PICT0012.JPG,Desert Lion Conservation Camera Traps : acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2012/10/PvL_seq_30d19a5f-9e0b-4273-a7ee-63097150258c/PICT0012.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,acinonyx jubatus,acinonyx jubatus,cheetah,animalia,chordata,mammalia,carnivora,felidae,acinonyx,jubatus,desert-lion/6aedfbe8-04dc-4689-b054-254f64006edd.png,6aedfbe8-04dc-4689-b054-254f64006edd,bd2a401f2b7b65bb03cbe5a096be1bd1,3f46d5cc8678322a659d226178c8370a
https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_87ac47b8-c9e6-4b7a-a129-7036f2f007c6/20150623-PICT0130.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_87ac47b8-c9e6-4b7a-a129-7036f2f007c6/20150623-PICT0130.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_87ac47b8-c9e6-4b7a-a129-7036f2f007c6/20150623-PICT0130.JPG,Desert Lion Conservation Camera Traps : acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_87ac47b8-c9e6-4b7a-a129-7036f2f007c6/20150623-PICT0130.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,acinonyx jubatus,acinonyx jubatus,cheetah,animalia,chordata,mammalia,carnivora,felidae,acinonyx,jubatus,desert-lion/bb9c4daa-0416-4d1a-a269-1e5b1b3bf7b6.png,bb9c4daa-0416-4d1a-a269-1e5b1b3bf7b6,c9cbb0d7c00845713d48ba9a9a945f44,93d6dbf929cde32cea27dbc768defb52
https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_2bfd5573-dd09-4aea-b4cd-432c181eaf55/20150622-PICT0028.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_2bfd5573-dd09-4aea-b4cd-432c181eaf55/20150622-PICT0028.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_2bfd5573-dd09-4aea-b4cd-432c181eaf55/20150622-PICT0028.JPG,Desert Lion Conservation Camera Traps : acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_2bfd5573-dd09-4aea-b4cd-432c181eaf55/20150622-PICT0028.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,acinonyx jubatus,acinonyx jubatus,cheetah,animalia,chordata,mammalia,carnivora,felidae,acinonyx,jubatus,desert-lion/d57c620b-c251-4374-ad9b-5b24543f1572.png,d57c620b-c251-4374-ad9b-5b24543f1572,f82f7760be5d5578f5215143e518eae2,526acaacacf835495769df3fd4392844
https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2014/09/PvL_seq_8400bcff-2fdd-4b74-901b-db72f78eedc5/20140908-PICT0135.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2014/09/PvL_seq_8400bcff-2fdd-4b74-901b-db72f78eedc5/20140908-PICT0135.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2014/09/PvL_seq_8400bcff-2fdd-4b74-901b-db72f78eedc5/20140908-PICT0135.JPG,Desert Lion Conservation Camera Traps : acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2014/09/PvL_seq_8400bcff-2fdd-4b74-901b-db72f78eedc5/20140908-PICT0135.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,acinonyx jubatus,acinonyx jubatus,cheetah,animalia,chordata,mammalia,carnivora,felidae,acinonyx,jubatus,desert-lion/1168ba30-375f-4cc4-b622-a71dc770d333.png,1168ba30-375f-4cc4-b622-a71dc770d333,e79acb0befcfabfd00aaf13284b3f320,78483e7b7b7c3d5d802b2c1a869625bf
https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_4f6f1b6c-2d0b-4c5f-9fbc-cf5767973ce4/20150622-PICT0069.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_4f6f1b6c-2d0b-4c5f-9fbc-cf5767973ce4/20150622-PICT0069.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_4f6f1b6c-2d0b-4c5f-9fbc-cf5767973ce4/20150622-PICT0069.JPG,Desert Lion Conservation Camera Traps : acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_4f6f1b6c-2d0b-4c5f-9fbc-cf5767973ce4/20150622-PICT0069.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,acinonyx jubatus,acinonyx jubatus,cheetah,animalia,chordata,mammalia,carnivora,felidae,acinonyx,jubatus,desert-lion/fbb239d8-79b6-4ef9-bbb0-484f01249fe2.png,fbb239d8-79b6-4ef9-bbb0-484f01249fe2,2fc2c31a0e5d992fcb9bd647ea6d2c69,83fc8cf7a32ff2a98919acabb4273593
https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/North/Okongwe/2013/09/PvL_seq_96511dc7-5434-4067-b535-7055d2192065/IM000281.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/North/Okongwe/2013/09/PvL_seq_96511dc7-5434-4067-b535-7055d2192065/IM000281.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/North/Okongwe/2013/09/PvL_seq_96511dc7-5434-4067-b535-7055d2192065/IM000281.JPG,Desert Lion Conservation Camera Traps : acinonyx jubatus/Camera Trap/North/Okongwe/2013/09/PvL_seq_96511dc7-5434-4067-b535-7055d2192065/IM000281.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,acinonyx jubatus,acinonyx jubatus,cheetah,animalia,chordata,mammalia,carnivora,felidae,acinonyx,jubatus,desert-lion/7a0df825-50f9-4b24-a557-08719024a2ce.png,7a0df825-50f9-4b24-a557-08719024a2ce,729dc859040cfee120a4c0fb95a86c22,c4f8e976cad687f90f86192a3bb428c9
https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_465c7540-0257-4681-8c17-94a167c3bad1/20150622-PICT0025.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_465c7540-0257-4681-8c17-94a167c3bad1/20150622-PICT0025.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_465c7540-0257-4681-8c17-94a167c3bad1/20150622-PICT0025.JPG,Desert Lion Conservation Camera Traps : acinonyx jubatus/Camera Trap/Events/Aj_Huab/2015/06/PvL_seq_465c7540-0257-4681-8c17-94a167c3bad1/20150622-PICT0025.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,acinonyx jubatus,acinonyx jubatus,cheetah,animalia,chordata,mammalia,carnivora,felidae,acinonyx,jubatus,desert-lion/8b0146e9-3117-4d76-b61c-a8ead22e5755.png,8b0146e9-3117-4d76-b61c-a8ead22e5755,dd95ba168bb7b3137252df0d1307958e,9bbfee8aec88929d57480eb90a84a097
https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2013/05/PvL_seq_524b0292-a7ee-4d17-936a-ffa0b5b2e656/PICT0154.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2013/05/PvL_seq_524b0292-a7ee-4d17-936a-ffa0b5b2e656/PICT0154.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2013/05/PvL_seq_524b0292-a7ee-4d17-936a-ffa0b5b2e656/PICT0154.JPG,Desert Lion Conservation Camera Traps : acinonyx jubatus/Camera Trap/Hoanib/FldPln_Arch/2013/05/PvL_seq_524b0292-a7ee-4d17-936a-ffa0b5b2e656/PICT0154.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,acinonyx jubatus,acinonyx jubatus,cheetah,animalia,chordata,mammalia,carnivora,felidae,acinonyx,jubatus,desert-lion/7b883b68-aa1b-433a-a54e-c73fa2b9d36f.png,7b883b68-aa1b-433a-a54e-c73fa2b9d36f,885f5d6ca506af30ee94a5ef6b3c38f0,6078a307b8cddceb405504627fc64fde
