url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,kingdom,phylum,cls,order,family,genus,species,filepath,filename,md5
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-28.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-28.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-28.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-28.JPG,Ohio Small Animals : location_BIWA3N_sequence_index_00000,Ohio Small Animals : BIWA3N,0,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_BIWA3N_2020-07-12_06-50-28.JPG,OH_sm_animals_BIWA3N_2020-07-12_06-50-28.JPG,8dfcd2f7cf855b94c191baead05b904e
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-29.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-29.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-29.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-29.JPG,Ohio Small Animals : location_BIWA3N_sequence_index_00000,Ohio Small Animals : BIWA3N,1,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_BIWA3N_2020-07-12_06-50-29.JPG,OH_sm_animals_BIWA3N_2020-07-12_06-50-29.JPG,7fb71f74e311bcc59d12a6c1d3a5f564
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-30.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-30.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-30.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA3N_2020-07-12_06-50-30.JPG,Ohio Small Animals : location_BIWA3N_sequence_index_00000,Ohio Small Animals : BIWA3N,2,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_BIWA3N_2020-07-12_06-50-30.JPG,OH_sm_animals_BIWA3N_2020-07-12_06-50-30.JPG,599fd8843e098432bb1664c4366b4844
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-45.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-45.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-45.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-45.JPG,Ohio Small Animals : location_BIWA4N_sequence_index_00002,Ohio Small Animals : BIWA4N,0,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_BIWA4N_2020-07-20_02-03-45.JPG,OH_sm_animals_BIWA4N_2020-07-20_02-03-45.JPG,6f7e9e8c72d2bbd1af3118e6058f321f
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-46.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-46.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-46.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-46.JPG,Ohio Small Animals : location_BIWA4N_sequence_index_00002,Ohio Small Animals : BIWA4N,1,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_BIWA4N_2020-07-20_02-03-46.JPG,OH_sm_animals_BIWA4N_2020-07-20_02-03-46.JPG,8e77e782f40299f3d202c48aa42d6be6
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-47.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-47.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-47.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/BIWA4N_2020-07-20_02-03-47.JPG,Ohio Small Animals : location_BIWA4N_sequence_index_00002,Ohio Small Animals : BIWA4N,2,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_BIWA4N_2020-07-20_02-03-47.JPG,OH_sm_animals_BIWA4N_2020-07-20_02-03-47.JPG,030cdab90ba2dfe04cfa71a2f46250ec
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-24(1).JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-24(1).JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-24(1).JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-24(1).JPG,Ohio Small Animals : location_KPC3_sequence_index_00220,Ohio Small Animals : KPC3,0,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_KPC3__2019-07-23__12-53-24(1).JPG,OH_sm_animals_KPC3__2019-07-23__12-53-24(1).JPG,5138c83753fffcc572c0a0c140ae523f
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-25(2).JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-25(2).JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-25(2).JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-25(2).JPG,Ohio Small Animals : location_KPC3_sequence_index_00220,Ohio Small Animals : KPC3,1,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_KPC3__2019-07-23__12-53-25(2).JPG,OH_sm_animals_KPC3__2019-07-23__12-53-25(2).JPG,5f1489fd3d072da386a5490d34b2f452
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-26(3).JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-26(3).JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-26(3).JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-26(3).JPG,Ohio Small Animals : location_KPC3_sequence_index_00220,Ohio Small Animals : KPC3,2,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_KPC3__2019-07-23__12-53-26(3).JPG,OH_sm_animals_KPC3__2019-07-23__12-53-26(3).JPG,f0b6ec392d450cf207e9d78f2e97abe0
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-29(4).JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-29(4).JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-29(4).JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-29(4).JPG,Ohio Small Animals : location_KPC3_sequence_index_00220,Ohio Small Animals : KPC3,3,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_KPC3__2019-07-23__12-53-29(4).JPG,OH_sm_animals_KPC3__2019-07-23__12-53-29(4).JPG,cfc84ac0a8cbf6bab9ead362244ff3b7
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-30(5).JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-30(5).JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-30(5).JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-30(5).JPG,Ohio Small Animals : location_KPC3_sequence_index_00220,Ohio Small Animals : KPC3,4,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_KPC3__2019-07-23__12-53-30(5).JPG,OH_sm_animals_KPC3__2019-07-23__12-53-30(5).JPG,72af2a543600c0d7e3fcf582e0009c0c
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-31(6).JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-31(6).JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-31(6).JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Bullfrog/KPC3__2019-07-23__12-53-31(6).JPG,Ohio Small Animals : location_KPC3_sequence_index_00220,Ohio Small Animals : KPC3,5,american_bullfrog,lithobates catesbeianus,american bullfrog,animalia,chordata,amphibia,anura,ranidae,lithobates,catesbeianus,ohio-small-animals/OH_sm_animals_KPC3__2019-07-23__12-53-31(6).JPG,OH_sm_animals_KPC3__2019-07-23__12-53-31(6).JPG,f63cd701b1c0b51bf4dc27b484accd05
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-07-31_13-19-55.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-07-31_13-19-55.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-07-31_13-19-55.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-07-31_13-19-55.JPG,Ohio Small Animals : location_CBNP1N_sequence_index_00005,Ohio Small Animals : CBNP1N,1,american_toad,anaxyrus americanus,american toad,animalia,chordata,amphibia,anura,bufonidae,anaxyrus,americanus,ohio-small-animals/OH_sm_animals_CBNP1N_2020-07-31_13-19-55.JPG,OH_sm_animals_CBNP1N_2020-07-31_13-19-55.JPG,7ac3b49aa55accb3616d43d05f22f490
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-09_22-36-36.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-09_22-36-36.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-09_22-36-36.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-09_22-36-36.JPG,Ohio Small Animals : location_CBNP1N_sequence_index_00067,Ohio Small Animals : CBNP1N,2,american_toad,anaxyrus americanus,american toad,animalia,chordata,amphibia,anura,bufonidae,anaxyrus,americanus,ohio-small-animals/OH_sm_animals_CBNP1N_2020-08-09_22-36-36.JPG,OH_sm_animals_CBNP1N_2020-08-09_22-36-36.JPG,b97b0683f90b7f0a8335dd7e54fa6105
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-10_21-51-03.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-10_21-51-03.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-10_21-51-03.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-10_21-51-03.JPG,Ohio Small Animals : location_CBNP1N_sequence_index_00073,Ohio Small Animals : CBNP1N,0,american_toad,anaxyrus americanus,american toad,animalia,chordata,amphibia,anura,bufonidae,anaxyrus,americanus,ohio-small-animals/OH_sm_animals_CBNP1N_2020-08-10_21-51-03.JPG,OH_sm_animals_CBNP1N_2020-08-10_21-51-03.JPG,80dbbf7e3c9572dc21f2beb8184bdbda
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-15_21-20-02.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-15_21-20-02.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-15_21-20-02.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-15_21-20-02.JPG,Ohio Small Animals : location_CBNP1N_sequence_index_00119,Ohio Small Animals : CBNP1N,0,american_toad,anaxyrus americanus,american toad,animalia,chordata,amphibia,anura,bufonidae,anaxyrus,americanus,ohio-small-animals/OH_sm_animals_CBNP1N_2020-08-15_21-20-02.JPG,OH_sm_animals_CBNP1N_2020-08-15_21-20-02.JPG,b2e50b2b823c18755dd1b6d2e8c74d6d
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-24_20-50-23.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-24_20-50-23.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-24_20-50-23.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-24_20-50-23.JPG,Ohio Small Animals : location_CBNP1N_sequence_index_00178,Ohio Small Animals : CBNP1N,1,american_toad,anaxyrus americanus,american toad,animalia,chordata,amphibia,anura,bufonidae,anaxyrus,americanus,ohio-small-animals/OH_sm_animals_CBNP1N_2020-08-24_20-50-23.JPG,OH_sm_animals_CBNP1N_2020-08-24_20-50-23.JPG,c3c3dd75ffd96d72e65da3deacba0333
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-26_23-31-21.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-26_23-31-21.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-26_23-31-21.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-26_23-31-21.JPG,Ohio Small Animals : location_CBNP1N_sequence_index_00190,Ohio Small Animals : CBNP1N,1,american_toad,anaxyrus americanus,american toad,animalia,chordata,amphibia,anura,bufonidae,anaxyrus,americanus,ohio-small-animals/OH_sm_animals_CBNP1N_2020-08-26_23-31-21.JPG,OH_sm_animals_CBNP1N_2020-08-26_23-31-21.JPG,3a33f6ae97ee08bf20af1159cf0b95e6
https://storage.googleapis.com/public-datasets-lila/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-26_23-32-01.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-26_23-32-01.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-26_23-32-01.JPG,Ohio Small Animals : Images/Sorted_by_species/Amphibia/American Toad/CBNP1N_2020-08-26_23-32-01.JPG,Ohio Small Animals : location_CBNP1N_sequence_index_00190,Ohio Small Animals : CBNP1N,8,american_toad,anaxyrus americanus,american toad,animalia,chordata,amphibia,anura,bufonidae,anaxyrus,americanus,ohio-small-animals/OH_sm_animals_CBNP1N_2020-08-26_23-32-01.JPG,OH_sm_animals_CBNP1N_2020-08-26_23-32-01.JPG,79dab5b6745de99eded4238932477670
