,id,source_url,captions,md5
0,1,http://plantid.net/PhotoPath/Thumb192/__SSM/Bolboschoenus%20maritimus_0000%200000%200606%200432.jpg,"Bolboschoenus maritimus, Flowers dark brown with tan bristles.",bed8c4d1075643ceb12c4e4fffb1a943
1,2,http://plantid.net/PhotoPath/Thumb192/__SSM/Bolboschoenus%20maritimus%20ssp.%20paludosus_0000%200000%201116%200881.jpg,"Bolboschoenus maritimus, Flowers group in the joint of flat stems.",481c09bfc7bc5124cec9ed4d79408730
2,3,http://plantid.net/PhotoPath/Thumb192/__KM/Bolboschoenus%20maritimus%20ssp.%20paludosus_0000%200000%200915%201540.jpg,"Bolboschoenus maritimus, Stands erect with noticeable brown flowers",0027599f1d2782ea123edf4a8984e6cb
3,4,http://plantid.net/PhotoPath/Thumb192/__BB/Heuchera%20micrantha_0000%200000%200110%200063.jpg,"Heuchera micrantha, Alum root sends wispy stems in the air, supporting dozens of tiny flowers.",5933f79ded29dab6e0ea11106d2cd9d9
4,5,http://plantid.net/PhotoPath/Thumb192/__BHS/2014-02-18%20Steep%20Ravine/Heuchera%20micrantha_Alum%20Root_Steep%20Ravine%20Trail_2014-02-18__BHS.jpg,"Heuchera micrantha, Fuzzy leaves are mitten-shaped.  They connect to the base of the plant on long stalks.",a52bbd28b7b14c9da22f6f579c11f268
5,6,http://plantid.net/PhotoPath/Thumb192/__BB/Heuchera%20micrantha_0000%200000%200110%200064.jpg,"Heuchera micrantha, Leaves form a thick basal cluster.",0bf5f7ffb61f65a0fe11129cadcfbe36
6,7,http://plantid.net/PhotoPath/Thumb192/__JML/Cornus%20sericea.jpg,"Cornus sericea, Opposite leaves , strong veins, pointed tips.",173b4fbd2960b170a31f71285b0b150b
7,8,http://plantid.net/PhotoPath/Thumb192/__FRDM/Over4500/Cornus%20sericeaFL.jpg,"Cornus sericea, Showy clumps of flowers turn into white berries.",f8850ac48572af2f92bf04305a693c4a
8,9,http://plantid.net/PhotoPath/Thumb192/__JM/Cornus%20sericea.jpg,"Cornus sericea, 4-petaled white flowers grow in clumps at the end of stems.",2cc333d449f3099eee0375c11a59eb07
9,10,http://plantid.net/PhotoPath/Thumb192/__FRDM/Over4500/Vicia%20americanaFL.jpg,"Vicia americana, Purple pea-like flowers",18793055400be099b8703cfd7ba50cb4
