class,description
Insecta,"1.The Orchid Mantis, Hymenopus coronatus, displays a body of white and pale pink, with flattened, lobed legs that mimic the petals of a flower, positioned amidst green foliage.    

2. A Rosy Maple Moth, Dryocampa rubicunda, exhibits a woolly, bright yellow thorax and legs, contrasted by vibrant pink wings and antennae, resting on a flat surface.    

3.The Emerald Ash Borer, Agrilus planipennis, presents an elongated body with a metallic, iridescent green exoskeleton, its segmented form clearly visible against a green leaf. "
Magnoliopsida,"1.The Passion Flower, Passiflora incarnata, features a complex radial structure with white outer petals and a central corona of fine, purple and white filaments surrounding a prominent green gynoecium.    

 2.The Venus Flytrap, Dionaea muscipula, shows modified leaves forming jaw-like traps, each lobe tinged with red on its inner surface and fringed with bristle-like cilia.    

 3.The Corpse Flower, Amorphophallus titanum, reveals a massive, deep maroon, funnel-shaped spathe with a wrinkled texture, encircling a tall, pale yellow spadix."
Gastropoda,"1.The Blue Dragon, Glaucus atlanticus, has a flattened, tapering body with a silvery-grey dorsal side and a vibrant blue ventral surface, featuring multiple clusters of finger-like cerata extending laterally.    

 2.A Roman Snail, Helix pomatia, possesses a large, globose shell with a pale brown and cream spiral pattern, while its muscular, textured body and stalked eyes are extended.    

3.The Candy Cane Snail, Liguus virgineus, is characterized by a conical, glossy white shell marked with thin, brightly colored spiral bands of yellow, magenta, and blue. "
Actinopterygii,"1.The Mandarinfish, Synchiropus splendidus, displays a psychedelic pattern of wavy blue, orange, and green lines over its small, stout body, with large, fan-like pectoral fins.    

2. A Lionfish, Pterois volitans, is distinguished by its dramatic, fan-like pectoral fins and long, separated dorsal spines, its body marked with bold vertical stripes of reddish-brown and white.    

3.The Weedy Seadragon, Phyllopteryx taeniolatus, exhibits a long, slender body with numerous leaf-like appendages, its reddish-yellow skin marked with iridescent blue stripes, providing camouflage among seaweed. "
Aves,"1.House Sparrow perches on a wooden fence in an urban setting, its stout conical bill, streaked brown back, and pale underparts blending with the surroundings.
2.Ardea herodias wades in shallow wetland water, its tall frame, long legs, and sharp yellow bill highlighted against reeds and grey-blue plumage.
3.Red-tailed Hawk soars above open fields, its broad wings and warm reddish tail catching the sunlight as it scans the ground with a hooked beak."
Agaricomycetes,"1.The Fly Agaric, Amanita muscaria, has a convex, brilliant red cap speckled with white, warty remnants of a universal veil, rising from the forest floor on a white stipe.    

 2.A young Bleeding Tooth Fungus, Hydnellum peckii, appears as a whitish, irregularly lobed mass exuding bright red, viscous droplets from its velvety surface, resting on pine litter.    

 3.Turkey Tail fungus, Trametes versicolor, grows in shelf-like clusters on decaying wood, each fruiting body displaying distinct concentric zones of brown, tan, and grey with a velvety texture. "
Arachnida,"1.The Peacock Spider, Maratus volans, displays a small body with a brilliantly colored, iridescent abdominal flap featuring patterns of red, blue, and black, which is raised during courtship.    

 2.A Spiny Orb-Weaver, Gasteracantha cancriformis, has a wide, flattened abdomen that is bright yellow with black spots and six prominent, red-tipped spines projecting outwards from its edge.    

 3.The Emperor Scorpion, Pandinus imperator, exhibits a robust, glossy black exoskeleton, large, powerful pedipalps (pincers), and a segmented tail arching over its body, terminating in a sharp stinger."
Reptilia,"1.The Panther Chameleon, Furcifer pardalis, clings to a branch, its body covered in a granular texture of vibrant turquoise and red scales, with independently rotating turret-like eyes.    

 2.A Gaboon Viper, Bitis gabonica, displays a broad, triangular head and a thick body covered in a complex geometric pattern of pink, purple, and brown rectangles and triangles.    

3.The Galápagos Tortoise, Chelonoidis niger, features a large, domed carapace of dark, bony scutes, wrinkled, grey-skinned limbs, and a long neck extending from its protective shell."
Amphibia,"1.The Golden Poison Frog, Phyllobates terribilis, presents a uniformly brilliant yellow, smooth-skinned body, its vivid coloration stark against the dark green leaves of its habitat.    

 2.An Axolotl, Ambystoma mexicanum, is an aquatic salamander with a pale pink, smooth-skinned body and prominent, feathery external gills branching from the sides of its head.    

3.The Glass Frog, Hyalinobatrachium fleischmanni, has a lime-green dorsal surface with small yellow spots, while its ventral skin is transparent, revealing the internal organs beneath.  "
Bivalvia,"1.A live Bay Scallop, Argopecten irradians, reveals its two fan-shaped, ribbed shells slightly agape, exposing a fleshy mantle lined with a row of tiny, brilliant blue eyes.    

 2.The Pacific Geoduck, Panopea generosa, consists of two relatively small, oblong shells from which a massive, fleshy, tube-like siphon protrudes, too large to be retracted.   

3.An open Pearl Oyster, Pinctada, shows the smooth, iridescent nacre lining the interior of its rough, irregular shell, with a single, lustrous pearl nestled within the tissue."
Malacostraca,"1.The Japanese Spider Crab, Macrocheira kaempferi, possesses a small, orange, pear-shaped carapace and exceptionally long, slender legs covered in orange and white bands, giving it a vast leg span.    

 2.A Peacock Mantis Shrimp, Odontodactylus scyllarus, exhibits a vibrant, multicolored body with a green carapace, orange appendages, and leopard-like spots, along with complex, stalked eyes.    

 3.The common Pill Bug, Armadillidium vulgare, has a dark grey, segmented exoskeleton forming a convex arch, allowing it to roll into a tight, defensive ball.   "
Mammalia,"1. The Orca displays a high-contrast body, featuring a distinct white patch above a glossy black dorsal surface, which transitions to a pure white underside with bold stripes and blotches. 
 2. The Mandrill exhibits a vivid facial pattern of ribbed skin with shades of red and blue, complemented by a white tuft of beard-like fur at the chin. 
 3. The Okapi's body is a rich, reddish-brown hue that abruptly transitions to striking zebra-like white and black horizontal stripes on its hindquarters and legs."
Polypodiopsida,"1. The Bird's Nest Fern forms a vase-like rosette of broad, undivided, and glossy green fronds with prominent dark midribs and wavy edges. 
 2. With its purplish stems, the Eared Lady Fern displays a tuft of arching, triangular, bipinnate fronds with a finely textured and delicate appearance. 
 3. The Cinnamon Fern shows a distinct visual dimorphism, with feathery, blue-green sterile fronds surrounding erect, cinnamon-brown, spore-bearing fertile fronds that resemble sticks."
Lecanoromycetes,"1. Pleopsidium chlorophanum forms a sunny yellow, irregular crust that adheres tightly to a rocky substrate, appearing like a brightly colored stain. 
 2. The foliose lichen Flavoparmelia caperata has a leafy, convoluted thallus with ridges and bumps, and its margins consist of individual, leaf-like lobes attached to the surface by rhizinae. 
 3. The fruticose lichen Letharia vulpina grows as an upright, shrub-like tuft with multiple, finely branched stems that have a distinct green-to-yellow color."
Anthozoa,"1. A solitary sea anemone has a soft, cylindrical stalk anchored to a surface, with a flower-like oral disc at its top fringed by hundreds of venomous tentacles. 
 2. A stony coral forms a complex branching structure with a rigid, calcified skeleton, creating a protective framework for its numerous small polyps. 
 3. A brain coral displays a solid, domed shape with a surface covered in deep, interconnected grooves and ridges that form a convoluted, maze-like pattern."
Teleostei,"1. The Clownfish is bright orange with three vertical white stripes outlined in black, sheltering its small, distinct body within the tentacles of an anemone. 
 2. The Blue Tang's body is a vivid blue, with a black, palette-shaped pattern on its sides and a bright yellow caudal fin, highlighting its unique coloration. 
 3. A deep-sea anglerfish has a bulbous, disproportionate body and a long, bioluminescent filament extending from its head like a fishing pole."
Bryopsida,"1. A dense mat of vibrant green gametophytes covers the ground, from which numerous slender, reddish sporophyte stalks rise, each topped with a small, light-colored capsule. 
 2. The Silvery Thread Moss forms a small, dense cushion with leaves that have a glistening, silvery-white hue due to a unique light refraction. 
 3. The Haircap Moss presents as a tuft of wiry, erect stems with robust, dark green leaves that are opaque and thicker than those of other mosses."
Globothalamea,"1. A microscopic, multichambered test of a foraminiferan is coiled in a spiral on multiple planes, giving it a conical, helicoidal arrangement. 
 2. This microscopic test is composed of subspherical calcite particles closely packed together, with an aperture visible on its final chamber. 
 3. The microscopic shell is coiled in a single plane like a snail shell, with an agglutinated test composed of various sediment particles cemented together."
Florideophyceae,"1. An articulated coralline alga presents as an upright, rigid, and segmented plant with dichotomous branching and a rough, coral-like texture. 
 2. A filamentous red alga forms thin, translucent, hair-like filaments that are only a single cell wide, clinging to a submerged surface. 
 3. An irregularly branched red alga has a dense, bushy form with a thick central axis and numerous spine-like branchlets projecting outwards."
Chondrichthyes,"1. The Whale Shark's dorsal surface is a dark grey-blue covered in a unique, checkerboard pattern of pale yellow and white spots and stripes. 
 2. The Oceanic Manta Ray has a vast, diamond-shaped body with a deep black dorsal side and a prominent white, T-shaped marking across its back. 
 3. The skin of a Shortfin Mako, while appearing smooth from a distance, is covered with countless microscopic, ribbed scales called dermal denticles, giving it a sandpaper-like texture."
Demospongiae,"1. A soft, yellow sea wool sponge forms a large, lumpy, and amorphous mass with a highly porous surface and no visible internal structures. 
 2. A red encrusting sponge forms a thin, vibrant crust that adheres tightly and irregularly to a rocky surface, with scattered exhalant pores visible. 
 3. A purple vase sponge has a large, urn-like body, with a deep violet hue and a single large exhalant opening at its top."
Polychaeta,"1. The Christmas Tree worm features twin, cone-shaped spirals of plumes in various solid and striped colors, emerging from a burrow in a calcareous coral. 
 2. The Sea Mouse is an oval-shaped worm covered in a dense, felt-like mat of gray bristles, with a fringe of iridescent blue, green, and gold bristles along its edges. 
 3. A bristle worm has a segmented body with a pair of paddle-like parapodia extending from each ring, each bearing bundles of chitinous bristles."
Eurotatoria,"1. The elongated, translucent body of Rotaria neptunia is clearly segmented, featuring a prominent ciliated corona for feeding and a slender, retractable foot for attachment. 
 2. With its rigid, vase-shaped lorica providing a protective casing, the planktonic Keratella cochlearis exhibits distinct anterior spines surrounding its ciliated head. 
 3. The illoricate rotifer Philodina roseola displays a flexible, worm-like body, often reddish in hue, with two prominent ciliated wheels that create a feeding vortex."
Sordariomycetes,"1. Clusters of erect, blackened stromata, resembling charred fingers, identify Xylaria polymorpha emerging from the base of decaying hardwood. 
 2. The vibrant orange, club-shaped fruiting body of Cordyceps militaris erupts from its insect host, its surface minutely punctured by embedded perithecia. 
 3. Numerous small, hemispherical fruiting bodies of Hypoxylon fragiforme cover a fallen beech branch, their surfaces transitioning from brick-red to black and appearing finely warted."
Maxillopoda,"1. Dense clusters of the acorn barnacle, Semibalanus balanoides, form a crust of greyish-white conical plates on an intertidal rock surface. 
 2. The gooseneck barnacle, Pollicipes polymerus, attaches via a tough, leathery, blackish stalk, topped by a capitulum of multiple white shell plates. 
 3. The planktonic copepod Calanus finmarchicus has a teardrop-shaped, transparent body with exceptionally long antennae and a single, central red eyespot."
Leotiomycetes,"1. On a decaying log, the turquoise-stained wood reveals the presence of Chlorociboria aeruginascens, which forms tiny, blue-green, cup-shaped fruiting bodies. 
 2. Growing in dense masses on a felled oak branch, the rubbery, gelatinous cups of Bulgaria inquinans have a shiny black upper surface and a felty brown exterior. 
 3. The black earth tongue, Geoglossum umbratile, is distinguished by its dark, club-shaped ascocarp, where a fertile head transitions smoothly into a sterile, slender stipe."
Diplopoda,"1. The giant African millipede, Archispirostreptus gigas, possesses a large, cylindrical body composed of numerous glossy black segments, each bearing two pairs of reddish legs. 
 2. Characterized by its striking coloration, the ivory millipede, Chicobolus spinigerus, displays alternating bands of black and pale ivory on its smooth, segmented exoskeleton. 
 3. The pill millipede, Glomeris marginata, has a short, stout body with shiny black dorsal plates edged in a pale rim, capable of rolling into a defensive ball."
Asteroidea,"1. The common starfish, Asterias rubens, exhibits a classic pentaradial symmetry with five broad, tapering arms covered in a rough, spiny texture, typically orange or brownish in color. 
 2. With its numerous (16 to 24) soft, flexible arms radiating from a central disc, the sunflower sea star displays a vibrant orange to purple coloration. 
 3. The dorsal surface of the horned sea star is covered in prominent, black, conical horns, giving Protoreaster nodosus its distinctive chocolate-chip appearance on a tan, rigid body."
Liliopsida,"1. The large, upward-facing flowers of the Stargazer lily feature vibrant raspberry-red petals with crisp white margins and dark interior spots. 
 2. Characterized by its long-lasting, arching inflorescence, the moon orchid, Phalaenopsis amabilis, displays large white flowers with a complex yellow and reddish-marked labellum. 
 3. The pampas grass, Cortaderia selloana, forms a large clump of weeping, sharp-edged leaves from which tall, silvery-white, feather-like plumes emerge."
Hydrozoa,"1. The Portuguese man o' war, Physalia physalis, is a floating colony characterized by a translucent, gas-filled pneumatophore with iridescent purple and blue hues, trailing long tentacles. 
 2. Forming a branching, calcified skeleton on a reef, the fire coral Millepora alcicornis has a mustard-yellow coloration with distinctive white tips on its smooth branches. 
 3. A microscopic view of an Obelia colony reveals a plant-like structure with branching stalks, terminating in feeding polyps (gastrozooids) with tentacles and reproductive polyps (gonozooids)."
Pinopsida,"1. The eastern white pine is identified by its long, soft, bluish-green needles arranged in bundles of five and its slender, elongated cones with thin, rounded scales. 
 2. Characterized by its large, pendulous, cylindrical cones and stiff, sharp-pointed, four-sided needles, Picea abies displays a classic conical tree form. 
 3. The common juniper presents prickly, awl-shaped needles arranged in whorls of three, along with small, globose, waxy, bluish-black, berry-like female cones."
Echinoidea,"1. The purple sea urchin, Strongylocentrotus purpuratus, has a globose, radially symmetrical test completely covered in sharp, mobile, deep purple spines of varying lengths. 
 2. A flattened, disc-shaped test covered in fine, velvety spines characterizes the sand dollar, Dendraster excentricus, with a distinct, off-center, petal-like pattern on its aboral surface. 
 3. The heart urchin Spatangus purpureus displays a distinct bilateral symmetry, with an ovoid, heart-shaped test and spines of a deep violet or reddish-purple hue."
